"";"values"
"1";2018-01-01
"2";2018-01-02
"3";2018-01-03
"4";2018-01-04
"5";2018-01-05
"6";2018-01-06
"7";2018-01-07
"8";2018-01-08
"9";2018-01-09
"10";2018-01-10
"11";2018-01-11
"12";2018-01-12
"13";2018-01-13
"14";2018-01-14
"15";2018-01-15
"16";2018-01-16
"17";2018-01-17
"18";2018-01-18
"19";2018-01-19
"20";2018-01-20
"21";2018-01-21
"22";2018-01-22
"23";2018-01-23
"24";2018-01-24
"25";2018-01-25
"26";2018-01-26
"27";2018-01-27
"28";2018-01-28
"29";2018-01-29
"30";2018-01-30
"31";2018-01-31
"32";2018-02-01
"33";2018-02-02
"34";2018-02-03
"35";2018-02-04
"36";2018-02-05
"37";2018-02-06
"38";2018-02-07
"39";2018-02-08
"40";2018-02-09
"41";2018-02-10
"42";2018-02-11
"43";2018-02-12
"44";2018-02-13
"45";2018-02-14
"46";2018-02-15
"47";2018-02-16
"48";2018-02-17
"49";2018-02-18
"50";2018-02-19
"51";2018-02-20
"52";2018-02-21
"53";2018-02-22
"54";2018-02-23
"55";2018-02-24
"56";2018-02-25
"57";2018-02-26
"58";2018-02-27
"59";2018-02-28
"60";2018-03-01
"61";2018-03-02
"62";2018-03-03
"63";2018-03-04
"64";2018-03-05
"65";2018-03-06
"66";2018-03-07
"67";2018-03-08
"68";2018-03-09
"69";2018-03-10
"70";2018-03-11
"71";2018-03-12
"72";2018-03-13
"73";2018-03-14
"74";2018-03-15
"75";2018-03-16
"76";2018-03-17
"77";2018-03-18
"78";2018-03-19
"79";2018-03-20
"80";2018-03-21
"81";2018-03-22
"82";2018-03-23
"83";2018-03-24
"84";2018-03-25
"85";2018-03-26
"86";2018-03-27
"87";2018-03-28
"88";2018-03-29
"89";2018-03-30
"90";2018-03-31
"91";2018-04-01
"92";2018-04-02
"93";2018-04-03
"94";2018-04-04
"95";2018-04-05
"96";2018-04-06
"97";2018-04-07
"98";2018-04-08
"99";2018-04-09
"100";2018-04-10
"101";2018-04-11
"102";2018-04-12
"103";2018-04-13
"104";2018-04-14
"105";2018-04-15
"106";2018-04-16
"107";2018-04-17
"108";2018-04-18
"109";2018-04-19
"110";2018-04-20
"111";2018-04-21
"112";2018-04-22
"113";2018-04-23
"114";2018-04-24
"115";2018-04-25
"116";2018-04-26
"117";2018-04-27
"118";2018-04-28
"119";2018-04-29
"120";2018-04-30
"121";2018-05-01
"122";2018-05-02
"123";2018-05-03
"124";2018-05-04
"125";2018-05-05
"126";2018-05-06
"127";2018-05-07
"128";2018-05-08
"129";2018-05-09
"130";2018-05-10
"131";2018-05-11
"132";2018-05-12
"133";2018-05-13
"134";2018-05-14
"135";2018-05-15
"136";2018-05-16
"137";2018-05-17
"138";2018-05-18
"139";2018-05-19
"140";2018-05-20
"141";2018-05-21
"142";2018-05-22
"143";2018-05-23
"144";2018-05-24
"145";2018-05-25
"146";2018-05-26
"147";2018-05-27
"148";2018-05-28
"149";2018-05-29
"150";2018-05-30
"151";2018-05-31
"152";2018-06-01
"153";2018-06-02
"154";2018-06-03
"155";2018-06-04
"156";2018-06-05
"157";2018-06-06
"158";2018-06-07
"159";2018-06-08
"160";2018-06-09
"161";2018-06-10
"162";2018-06-11
"163";2018-06-12
"164";2018-06-13
"165";2018-06-14
"166";2018-06-15
"167";2018-06-16
"168";2018-06-17
"169";2018-06-18
"170";2018-06-19
"171";2018-06-20
"172";2018-06-21
"173";2018-06-22
"174";2018-06-23
"175";2018-06-24
"176";2018-06-25
"177";2018-06-26
"178";2018-06-27
"179";2018-06-28
"180";2018-06-29
"181";2018-06-30
"182";2018-07-01
"183";2018-07-02
"184";2018-07-03
"185";2018-07-04
"186";2018-07-05
"187";2018-07-06
"188";2018-07-07
"189";2018-07-08
"190";2018-07-09
"191";2018-07-10
"192";2018-07-11
"193";2018-07-12
"194";2018-07-13
"195";2018-07-14
"196";2018-07-15
"197";2018-07-16
"198";2018-07-17
"199";2018-07-18
"200";2018-07-19
"201";2018-07-20
"202";2018-07-21
"203";2018-07-22
"204";2018-07-23
"205";2018-07-24
"206";2018-07-25
"207";2018-07-26
"208";2018-07-27
"209";2018-07-28
"210";2018-07-29
"211";2018-07-30
"212";2018-07-31
"213";2018-08-01
"214";2018-08-02
"215";2018-08-03
"216";2018-08-04
"217";2018-08-05
"218";2018-08-06
"219";2018-08-07
"220";2018-08-08
"221";2018-08-09
"222";2018-08-10
"223";2018-08-11
"224";2018-08-12
"225";2018-08-13
"226";2018-08-14
"227";2018-08-15
"228";2018-08-16
"229";2018-08-17
"230";2018-08-18
"231";2018-08-19
"232";2018-08-20
"233";2018-08-21
"234";2018-08-22
"235";2018-08-23
"236";2018-08-24
"237";2018-08-25
"238";2018-08-26
"239";2018-08-27
"240";2018-08-28
"241";2018-08-29
"242";2018-08-30
"243";2018-08-31
"244";2018-09-01
"245";2018-09-02
"246";2018-09-03
"247";2018-09-04
"248";2018-09-05
"249";2018-09-06
"250";2018-09-07
"251";2018-09-08
"252";2018-09-09
"253";2018-09-10
"254";2018-09-11
"255";2018-09-12
"256";2018-09-13
"257";2018-09-14
"258";2018-09-15
"259";2018-09-16
"260";2018-09-17
"261";2018-09-18
"262";2018-09-19
"263";2018-09-20
"264";2018-09-21
"265";2018-09-22
"266";2018-09-23
"267";2018-09-24
"268";2018-09-25
"269";2018-09-26
"270";2018-09-27
"271";2018-09-28
"272";2018-09-29
"273";2018-09-30
"274";2018-10-01
"275";2018-10-02
"276";2018-10-03
"277";2018-10-04
"278";2018-10-05
"279";2018-10-06
"280";2018-10-07
"281";2018-10-08
"282";2018-10-09
"283";2018-10-10
"284";2018-10-11
"285";2018-10-12
"286";2018-10-13
"287";2018-10-14
"288";2018-10-15
"289";2018-10-16
"290";2018-10-17
"291";2018-10-18
"292";2018-10-19
"293";2018-10-20
"294";2018-10-21
"295";2018-10-22
"296";2018-10-23
"297";2018-10-24
"298";2018-10-25
"299";2018-10-26
"300";2018-10-27
"301";2018-10-28
"302";2018-10-29
"303";2018-10-30
"304";2018-10-31
"305";2018-11-01
"306";2018-11-02
"307";2018-11-03
"308";2018-11-04
"309";2018-11-05
"310";2018-11-06
"311";2018-11-07
"312";2018-11-08
"313";2018-11-09
"314";2018-11-10
"315";2018-11-11
"316";2018-11-12
"317";2018-11-13
"318";2018-11-14
"319";2018-11-15
"320";2018-11-16
"321";2018-11-17
"322";2018-11-18
"323";2018-11-19
"324";2018-11-20
"325";2018-11-21
"326";2018-11-22
"327";2018-11-23
"328";2018-11-24
"329";2018-11-25
"330";2018-11-26
"331";2018-11-27
"332";2018-11-28
"333";2018-11-29
"334";2018-11-30
"335";2018-12-01
"336";2018-12-02
"337";2018-12-03
"338";2018-12-04
"339";2018-12-05
"340";2018-12-06
"341";2018-12-07
"342";2018-12-08
"343";2018-12-09
"344";2018-12-10
"345";2018-12-11
"346";2018-12-12
"347";2018-12-13
"348";2018-12-14
"349";2018-12-15
"350";2018-12-16
"351";2018-12-17
"352";2018-12-18
"353";2018-12-19
"354";2018-12-20
"355";2018-12-21
"356";2018-12-22
"357";2018-12-23
"358";2018-12-24
"359";2018-12-25
"360";2018-12-26
"361";2018-12-27
"362";2018-12-28
"363";2018-12-29
"364";2018-12-30
"365";2018-12-31
"366";2019-01-01
"367";2019-01-02
"368";2019-01-03
"369";2019-01-04
"370";2019-01-05
"371";2019-01-06
"372";2019-01-07
"373";2019-01-08
"374";2019-01-09
"375";2019-01-10
"376";2019-01-11
"377";2019-01-12
"378";2019-01-13
"379";2019-01-14
"380";2019-01-15
"381";2019-01-16
"382";2019-01-17
"383";2019-01-18
"384";2019-01-19
"385";2019-01-20
"386";2019-01-21
"387";2019-01-22
"388";2019-01-23
"389";2019-01-24
"390";2019-01-25
"391";2019-01-26
"392";2019-01-27
"393";2019-01-28
"394";2019-01-29
"395";2019-01-30
"396";2019-01-31
"397";2019-02-01
"398";2019-02-02
"399";2019-02-03
"400";2019-02-04
"401";2019-02-05
"402";2019-02-06
"403";2019-02-07
"404";2019-02-08
"405";2019-02-09
"406";2019-02-10
"407";2019-02-11
"408";2019-02-12
"409";2019-02-13
"410";2019-02-14
"411";2019-02-15
"412";2019-02-16
"413";2019-02-17
"414";2019-02-18
